id,key,value,type
16173236,admin_level,6,regular
16173236,capital,yes,regular
16173236,is_capital,country,regular
16173236,is_in,"National Capital Region, NCR, India",regular
16173236,continent,Asia,is_in
16173236,country,India,is_in
16173236,country_code,IN,is_in
16173236,iso_3166_2,IN-DL,is_in
16173236,name,New Delhi,regular
16173236,ace,New delhi,name
16173236,af,Nieu-Delhi,name
16173236,am,ኒው ዴሊ,name
16173236,an,Nueva Delhi,name
16173236,ang,Nīƿe Delhi,name
16173236,ar,نيودلهي,name
16173236,bat-smg,Naujasės Delės,name
16173236,be,Нью-Дэлі,name
16173236,be-tarask,Нью-Дэлі,name
16173236,bg,Ню Делхи,name
16173236,bn,নতুন দিল্লি,name
16173236,bo,ནེའུ་དིལ་ལི།,name
16173236,bpy,নুৱা দিল্লী,name
16173236,br,New Delhi,name
16173236,bs,New Delhi,name
16173236,ca,Nova Delhi,name
16173236,cbk-zam,Nueva Delhi,name
16173236,ckb,نیودلھی,name
16173236,co,New Delhi,name
16173236,crh,Nyu Deli,name
16173236,cs,Nové Dillí,name
16173236,cy,Delhi Newydd,name
16173236,da,New Delhi,name
16173236,de,Neu-Delhi,name
16173236,diq,Delhiyo Newe,name
16173236,dv,ނިއުދިއްލީ,name
16173236,el,Νέο Δελχί,name
16173236,en,New Delhi,name
16173236,eo,Nov-Delhio,name
16173236,es,Nueva Delhi,name
16173236,et,New Delhi,name
16173236,eu,New Delhi,name
16173236,ext,Nueva Delhi,name
16173236,fa,دهلی نو,name
16173236,fi,New Delhi,name
16173236,fiu-vro,New Delhi,name
16173236,fr,New Delhi,name
16173236,fy,Nij Delly,name
16173236,ga,Nua-Deilí,name
16173236,gd,New Delhi,name
16173236,gl,Nova Deli - नई दिल्ली,name
16173236,gv,Delhi Noa,name
16173236,he,ניו דלהי,name
16173236,hi,नई दिल्ली,name
16173236,hif,New Delhi,name
16173236,hr,New Delhi,name
16173236,ht,Niou Deli,name
16173236,hu,Újdelhi,name
16173236,hy,Նյու Դելի,name
16173236,ia,Nove Delhi,name
16173236,id,New Delhi,name
16173236,io,Nova-Delhi,name
16173236,is,Nýja Delí,name
16173236,it,Nuova Delhi,name
16173236,ja,ニューデリー,name
16173236,jv,New Delhi,name
16173236,ka,ნიუ-დელი,name
16173236,kk,Нью-Дели,name
16173236,kl,New Delhi,name
16173236,kn,ಹೊಸ ದೆಹಲಿ,name
16173236,ko,뉴델리,name
16173236,ks,نٔو دلھی,name
16173236,ku,Delhiya Nû,name
16173236,la,Dellium Novum,name
16173236,lb,Nei-Delhi,name
16173236,lij,Neuva Delhi,name
16173236,lmo,New Delhi,name
16173236,lt,Naujasis Delis,name
16173236,lv,Ņūdeli,name
16173236,mg,New Delhi,name
16173236,mi,New Delhi,name
16173236,mk,Њу Делхи,name
16173236,ml,ന്യൂ ഡെൽഹി,name
16173236,mn,Шинэ Дели,name
16173236,mr,नवी दिल्ली,name
16173236,ms,New Delhi,name
16173236,my,နယူးဒေလီမြို့,name
16173236,mzn,نو دهلی,name
16173236,nah,Yancuīc Deli,name
16173236,ne,नयाँ दिल्ली,name
16173236,nl,New Delhi,name
16173236,nn,New Delhi,name
16173236,no,New Delhi,name
16173236,nov,Novi Deli,name
16173236,oc,Nòva Delhi,name
16173236,os,Нью-Дели,name
16173236,pa,ਨਵੀਂ ਦਿੱਲੀ,name
16173236,pam,New Delhi,name
16173236,pl,Nowe Delhi,name
16173236,pms,New Delhi,name
16173236,pnb,نئی دلی,name
16173236,pt,Nova Deli,name
16173236,qu,Musuq Dilhi,name
16173236,ro,New Delhi,name
16173236,ru,Нью-Дели,name
16173236,sa,नवदेहली,name
16173236,sah,Саҥа Дели,name
16173236,scn,Nova Delhi,name
16173236,sco,New Delhi,name
16173236,si,නව දිල්ලිය,name
16173236,simple,New Delhi,name
16173236,sk,Naí Dillí,name
16173236,sl,New Delhi,name
16173236,so,New Delhi,name
16173236,sq,New Delhi,name
16173236,sr,Њу Делхи,name
16173236,sv,New Delhi,name
16173236,sw,New Delhi,name
16173236,ta,புது தில்லி,name
16173236,te,క్రొత్త ఢిల్లీ,name
16173236,tg,Ню-Дели,name
16173236,th,นิวเดลี,name
16173236,tl,Bagong Delhi,name
16173236,tr,Yeni Delhi,name
16173236,ug,Yéngi Déhli,name
16173236,uk,Нью-Делі,name
16173236,ur,نئی دہلی,name
16173236,vi,Tân Delhi,name
16173236,war,New Delhi,name
16173236,yi,ניי דעלי,name
16173236,yo,New Delhi,name
16173236,zh,新德里,name
16173236,zh-min-nan,Sin Delhi,name
16173236,zh-yue,新德里,name
16173236,place,city,regular
16173236,population,249998,regular
16173236,date,2011,population
16173236,wikidata,Q987,regular
16173236,wikipedia,en:New Delhi,regular
246518180,highway,traffic_signals,regular
246518184,highway,traffic_signals,regular
246518184,traffic_signals,signal,regular
246518188,highway,traffic_signals,regular
246518188,traffic_signals,signal,regular
249782343,created_by,JOSM,regular
249783293,highway,traffic_signals,regular
249783302,highway,traffic_signals,regular
249783316,highway,traffic_signals,regular
249786891,created_by,JOSM,regular
249786892,created_by,JOSM,regular
249791141,highway,traffic_signals,regular
249791204,highway,traffic_signals,regular
249823630,name,Rajouri Garden,regular
249823630,network,DMRC,regular
249823630,railway,station,regular
249823635,name,Ramesh Nagar,regular
249823635,network,DMRC,regular
249823635,railway,station,regular
249823920,highway,traffic_signals,regular
250075250,crossing,unmarked,regular
250075250,crossing_ref,zebra,regular
250075250,highway,traffic_signals,regular
266809614,historic,monument,regular
