id,user,uid,version,changeset,timestamp
5873630,15Tr,1987359,78,36984586,2016-02-03T20:02:01Z
22834653,Mettal,515232,17,49739287,2017-06-22T08:01:58Z
23089145,n'garh,600918,3,23794783,2014-07-03T12:08:17Z
23089146,apm-wa,1960718,7,22110361,2014-05-03T17:48:14Z
23133486,muzirian,2024553,25,48012807,2017-04-21T19:40:35Z
23133600,keithonearth,154287,11,41462812,2016-08-15T08:30:31Z
23133709,Varun Talwar,2253401,39,50733863,2017-07-31T21:27:07Z
23134098,PlaneMad,1306,34,41208577,2016-08-03T07:38:07Z
23134630,PlaneMad,1306,20,41208577,2016-08-03T07:38:07Z
23134680,Varun Talwar,2253401,9,50734697,2017-07-31T22:28:12Z
23134734,Varun Talwar,2253401,15,50734697,2017-07-31T22:28:10Z
23134746,contrapunctus,4685130,18,42821173,2016-10-12T05:43:30Z
23134751,Varun Talwar,2253401,23,47213325,2017-03-27T21:35:18Z
23151254,PlaneMad,1306,26,34067706,2015-09-16T18:00:55Z
24537423,Varun Talwar,2253401,19,47213325,2017-03-27T21:35:18Z
24563431,PlaneMad,1306,10,34016555,2015-09-14T09:40:36Z
24563432,Varun Talwar,2253401,9,50734697,2017-07-31T22:28:10Z
24563433,cdavila,26599,4,9664297,2011-10-26T21:20:16Z
24563435,Varun Talwar,2253401,11,50765521,2017-08-01T21:55:37Z
24563436,Sakthi20,1587943,5,17518940,2013-08-26T14:50:20Z
24563437,Oberaffe,56597,6,27199972,2014-12-03T13:32:21Z
24563438,Alban,2488,1,533381,2008-05-27T06:28:50Z
24563439,PlaneMad,1306,2,3111509,2009-11-14T09:27:47Z
24563440,Alban,2488,1,533381,2008-05-27T06:29:21Z
24563441,Alban,2488,1,533381,2008-05-27T06:29:21Z
24563442,Alban,2488,1,533381,2008-05-27T06:29:22Z
24563443,PlaneMad,1306,2,32799540,2015-07-22T11:38:40Z
24563444,PlaneMad,1306,2,3098584,2009-11-12T14:35:10Z
24563446,Oberaffe,56597,5,12762314,2012-08-17T13:00:08Z
24563447,Oberaffe,56597,4,5769136,2010-09-13T12:20:38Z
24563448,PlaneMad,1306,8,32538256,2015-07-10T09:25:29Z
24563449,PlaneMad,1306,10,34016555,2015-09-14T09:40:36Z
24576716,Varun Talwar,2253401,14,47213325,2017-03-27T21:35:17Z
24576720,Varun Talwar,2253401,13,47213325,2017-03-27T21:35:19Z
24576721,Varun Talwar,2253401,12,47213325,2017-03-27T21:35:17Z
24576723,PlaneMad,1306,9,32541954,2015-07-10T12:41:53Z
24576727,Varun Talwar,2253401,8,47213325,2017-03-27T21:35:16Z
24577095,Varun Talwar,2253401,8,50734697,2017-07-31T22:28:10Z
24577096,Varun Talwar,2253401,17,50734697,2017-07-31T22:28:10Z
24577097,Varun Talwar,2253401,18,50734697,2017-07-31T22:28:10Z
24577101,Varun Talwar,2253401,12,50734305,2017-07-31T21:57:00Z
24577102,Varun Talwar,2253401,11,50734305,2017-07-31T21:57:00Z
24577105,Oberaffe,56597,3,5769136,2010-09-13T12:20:36Z
24577106,PlaneMad,1306,6,32799046,2015-07-22T11:18:28Z
24577108,Varun Talwar,2253401,3,50734697,2017-07-31T22:28:11Z
24577109,oini,3057995,7,33950034,2015-09-11T07:27:53Z
24577110,Varun Talwar,2253401,9,50765521,2017-08-01T21:55:37Z
24577111,PlaneMad,1306,9,34064421,2015-09-16T14:49:30Z
24577112,Oberaffe,56597,2,5769136,2010-09-13T12:20:32Z
24577113,Oberaffe,56597,2,5769136,2010-09-13T12:19:55Z
24577114,Alban,2488,1,538770,2008-05-28T05:50:54Z
24577115,Oberaffe,56597,2,5769136,2010-09-13T12:20:04Z
24577116,Oberaffe,56597,2,5769136,2010-09-13T12:19:48Z
24577117,Sakthi20,1587943,2,17518940,2013-08-26T14:50:20Z
24577118,saikumar,2900470,5,39878205,2016-06-08T07:16:33Z
24577120,Oberaffe,56597,2,5769136,2010-09-13T12:20:22Z
24577121,Oberaffe,56597,14,24645134,2014-08-10T00:06:20Z
24577128,Varun Talwar,2253401,8,50734305,2017-07-31T21:57:00Z
24577129,PlaneMad,1306,5,21213131,2014-03-20T16:48:10Z
24577131,Varun Talwar,2253401,15,50734305,2017-07-31T21:57:01Z
24577358,Oberaffe,56597,2,5769136,2010-09-13T12:20:22Z
24577359,Oberaffe,56597,2,5769136,2010-09-13T12:19:46Z
24577360,Oberaffe,56597,2,5769136,2010-09-13T12:19:43Z
24577361,Oberaffe,56597,2,5769136,2010-09-13T12:20:10Z
24577363,Oberaffe,56597,4,24645308,2014-08-10T00:29:36Z
24577364,PlaneMad,1306,3,34067706,2015-09-16T18:00:53Z
24577365,PlaneMad,1306,3,34067706,2015-09-16T18:00:53Z
24577366,PlaneMad,1306,7,34067706,2015-09-16T18:00:53Z
24577367,PlaneMad,1306,3,3111509,2009-11-14T09:27:46Z
24577368,PlaneMad,1306,4,34067706,2015-09-16T18:01:00Z
24577369,Varun Talwar,2253401,4,50734697,2017-07-31T22:28:13Z
24577370,Varun Talwar,2253401,4,50734697,2017-07-31T22:28:13Z
24577371,Varun Talwar,2253401,5,50734697,2017-07-31T22:28:13Z
24577372,Varun Talwar,2253401,4,50734697,2017-07-31T22:28:12Z
24577378,Varun Talwar,2253401,17,50734697,2017-07-31T22:28:12Z
24577379,Varun Talwar,2253401,14,50734697,2017-07-31T22:28:12Z
24577381,PlaneMad,1306,8,34064522,2015-09-16T14:55:00Z
24577382,Varun Talwar,2253401,13,50734697,2017-07-31T22:28:11Z
24577383,Oberaffe,56597,8,27199972,2014-12-03T13:32:22Z
24577384,Oberaffe,56597,8,27199972,2014-12-03T13:32:22Z
24577385,Varun Talwar,2253401,6,50765521,2017-08-01T21:55:37Z
24577386,Oberaffe,56597,3,5769136,2010-09-13T12:20:30Z
24577387,Varun Talwar,2253401,6,50734697,2017-07-31T22:28:12Z
24577388,marek kleciak,338611,4,12000325,2012-06-24T13:42:42Z
24577389,marek kleciak,338611,4,12000325,2012-06-24T13:42:43Z
24577390,Oberaffe,56597,3,5769136,2010-09-13T12:19:47Z
24577391,PlaneMad,1306,12,34043512,2015-09-15T15:55:51Z
24577392,Varun Talwar,2253401,4,50734697,2017-07-31T22:28:11Z
24577393,Oberaffe,56597,5,5769136,2010-09-13T12:20:41Z
24577394,Oberaffe,56597,5,5769136,2010-09-13T12:20:21Z
24577395,PlaneMad,1306,7,32538256,2015-07-10T09:25:26Z
24577396,PlaneMad,1306,10,34016675,2015-09-14T09:46:38Z
24577401,PlaneMad,1306,9,34016675,2015-09-14T09:46:36Z
24577402,PlaneMad,1306,5,21213447,2014-03-20T17:08:14Z
24577403,PlaneMad,1306,5,21213447,2014-03-20T17:08:14Z
24577404,PlaneMad,1306,5,21213447,2014-03-20T17:08:14Z
24577405,PlaneMad,1306,9,40275489,2016-06-25T04:35:07Z
24577406,PlaneMad,1306,9,40275489,2016-06-25T04:35:07Z
24577407,PlaneMad,1306,8,34016675,2015-09-14T09:46:39Z
24577408,PlaneMad,1306,8,34016675,2015-09-14T09:46:38Z
24577409,PlaneMad,1306,5,34064421,2015-09-16T14:49:32Z
24577412,PlaneMad,1306,5,34064421,2015-09-16T14:49:32Z
24577413,Oberaffe,56597,2,5769136,2010-09-13T12:20:34Z
24577414,Oberaffe,56597,2,5769136,2010-09-13T12:20:16Z
24577415,Oberaffe,56597,3,5769136,2010-09-13T12:20:49Z
24577416,Oberaffe,56597,3,8325189,2011-06-02T23:11:05Z
24577417,Oberaffe,56597,2,5769136,2010-09-13T12:20:42Z
24577418,Smallikarjuna,2900434,6,39902629,2016-06-09T08:48:40Z
24577478,Varun Talwar,2253401,7,50734305,2017-07-31T21:56:57Z
24577480,PlaneMad,1306,9,36588285,2016-01-15T09:58:25Z
24577482,PlaneMad,1306,7,36588285,2016-01-15T09:58:26Z
24577483,PlaneMad,1306,11,36588285,2016-01-15T09:58:26Z
24577486,PlaneMad,1306,10,36588285,2016-01-15T09:58:26Z
24577487,PlaneMad,1306,7,36588285,2016-01-15T09:58:26Z
