id,key,value,type
5873630,highway,primary,regular
5873630,int_ref,AH1;AH2,regular
5873630,name,Mahatma Gandhi Road,regular
5873630,oneway,yes,regular
22834653,highway,primary,regular
22834653,name,Cariappa Marg,regular
22834653,oneway,yes,regular
23089145,highway,residential,regular
23089145,name,Rajpur Road,regular
23089145,source,gps,regular
23089146,highway,tertiary,regular
23089146,name,Under Hill Road,regular
23133486,highway,unclassified,regular
23133486,junction,roundabout,regular
23133486,oneway,yes,regular
23133600,highway,residential,regular
23133600,oneway,yes,regular
23133709,highway,secondary,regular
23133709,junction,roundabout,regular
23133709,name,Outer Circle,regular
23133709,hi,आउटर सर्किल,name
23133709,oneway,yes,regular
23134098,highway,secondary,regular
23134098,junction,roundabout,regular
23134098,motorroad,no,regular
23134098,oneway,yes,regular
23134630,highway,secondary,regular
23134630,oneway,yes,regular
23134680,highway,unclassified,regular
23134680,name,Pandara Road,regular
23134680,hi,पांडारा रोड,name
23134680,oneway,yes,regular
23134734,highway,secondary,regular
23134734,junction,roundabout,regular
23134734,name,Windsor Place,regular
23134734,hi,विंडसर प्लेस,name
23134746,highway,secondary,regular
23134746,name,Sansad Marg,regular
23134746,oneway,yes,regular
23134751,highway,secondary,regular
23134751,name,Mother Teresa Crescent,regular
23134751,hi,मदर टेरेसा क्रेसेंट,name
23151254,bicycle,yes,regular
23151254,foot,yes,regular
23151254,highway,tertiary,regular
23151254,name,Subramaniyam Bharti Marg,regular
23151254,oneway,yes,regular
23151254,surface,asphalt,regular
24537423,highway,secondary,regular
24537423,name,Sardar Patel Marg,regular
24537423,hi,सरदार पटेल मार्ग,name
24537423,oneway,yes,regular
24563431,highway,secondary,regular
24563431,oneway,yes,regular
24563432,highway,secondary,regular
24563432,name,Ashoka Road,regular
24563432,hi,अशोक रोड,name
24563433,highway,tertiary,regular
24563433,name,Copernicus Marg,regular
24563433,oneway,yes,regular
24563435,highway,tertiary,regular
24563435,name,Akbar Road,regular
24563435,hi,अकबर रोड,name
24563435,oneway,yes,regular
24563436,highway,tertiary,regular
24563436,name,Copernicus Marg,regular
24563437,highway,tertiary,regular
24563437,name,Copernicus Marg,regular
24563437,oneway,yes,regular
24563438,highway,pedestrian,regular
24563439,highway,pedestrian,regular
24563440,highway,pedestrian,regular
24563441,highway,pedestrian,regular
24563442,highway,pedestrian,regular
24563443,highway,pedestrian,regular
24563444,highway,pedestrian,regular
24563446,highway,tertiary,regular
24563446,oneway,yes,regular
24563447,highway,tertiary,regular
24563447,oneway,yes,regular
24563448,highway,unclassified,regular
24563449,highway,secondary,regular
24563449,junction,roundabout,regular
24563449,name,Janpath,regular
24576716,highway,tertiary,regular
24576716,name,Kautilya Marg,regular
24576716,hi,कौटिल्य मार्ग,name
24576720,highway,secondary,regular
24576720,name,Teen Murti Marg,regular
24576720,hi,टीन मूर्ति मार्ग,name
24576720,oneway,yes,regular
24576721,highway,tertiary,regular
24576721,name,Kautilya Marg,regular
24576721,hi,कौटिल्य मार्ग,name
24576723,highway,unclassified,regular
24576727,highway,unclassified,regular
24576727,name,Nyaya Marg,regular
24576727,hi,न्याय मार्ग,name
24577095,highway,secondary,regular
24577095,name,Ashoka Road,regular
24577095,hi,अशोक रोड,name
24577096,highway,tertiary,regular
24577096,name,Janpath,regular
24577096,hi,जनपथ,name
24577096,old_name,Queensway,regular
24577097,highway,tertiary,regular
24577097,name,Janpath,regular
24577097,hi,जनपथ,name
24577097,old_name,Queensway,regular
24577101,highway,secondary,regular
24577101,junction,roundabout,regular
24577101,name,Raisina Road,regular
24577101,hi,रायसीना रोड,name
24577101,oneway,yes,regular
24577102,highway,secondary,regular
24577102,name,Red Cross Road,regular
24577102,hi,रेड क्रॉस रोड,name
24577102,oneway,yes,regular
24577105,highway,tertiary,regular
24577105,oneway,yes,regular
24577106,access,no,regular
24577106,highway,tertiary,regular
